SampleID,Target
valid1,0.847182884781
valid2,0.771000410711
valid3,0.666666666667
valid4,-0.846763436489
valid5,-0.947592418747
valid6,-1.0
valid7,-0.923443504493
valid8,-0.966204878726
valid9,-0.855667813531
valid10,-1.0
valid11,-0.870977764781
valid12,-1.0
valid13,-0.957098969271
valid14,-0.870977764781
valid15,1.0
valid16,1.0
valid17,-0.686081389968
valid18,0.846763436489
valid19,-0.870977764781
valid20,0.904946648005
valid21,-0.666666666667
valid22,0.771000410711
valid23,1.0
valid24,-1.0
valid25,0.947948431815
valid26,-0.904946648005
valid27,-0.814483108072
valid28,1.0
valid29,0.870977764781
valid30,-0.923443504493
valid31,-1.0
valid32,0.75514345776
valid33,0.947592418747
valid34,1.0
valid35,-0.855667813531
valid36,-1.0
valid37,1.0
valid38,0.947948431815
valid39,1.0
valid40,-1.0
valid41,-1.0
valid42,-0.947948431815
valid43,-0.966204878726
valid44,-1.0
valid45,1.0
valid46,1.0
valid47,0.771000410711
valid48,-0.923443504493
valid49,0.924327885261
valid50,-0.814483108072
valid51,-1.0
valid52,-1.0
valid53,0.957098969271
valid54,-0.870977764781
valid55,-1.0
valid56,-1.0
valid57,-0.846763436489
valid58,0.981973974278
valid59,0.975521156521
valid60,0.666666666667
valid61,-1.0
valid62,-0.733212133041
valid63,0.75514345776
valid64,-1.0
valid65,-0.727505758478
valid66,-0.929816381081
valid67,-1.0
valid68,0.814483108072
valid69,-1.0
valid70,-0.855667813531
valid71,0.892476776944
valid72,1.0
valid73,0.666666666667
valid74,0.847182884781
valid75,0.892863104692
valid76,-0.980277465783
valid77,0.747355301837
valid78,-1.0
valid79,0.967002262175
valid80,-0.801884574883
valid81,0.690577980345
valid82,-1.0
valid83,0.988799622404
valid84,-0.666666666667
valid85,0.988799622404
valid86,0.947592418747
valid87,-1.0
valid88,-0.727505758478
valid89,0.727505758478
valid90,-1.0
valid91,0.686081389968
valid92,0.804429406671
valid93,1.0
valid94,0.924327885261
valid95,-1.0
valid96,1.0
valid97,-0.870977764781
valid98,0.686081389968
valid99,0.666666666667
valid100,1.0
valid101,-0.967002262175
valid102,-0.727505758478
valid103,0.924327885261
valid104,0.832156073505
valid105,-0.790242307994
valid106,0.95479387901
valid107,0.929816381081
valid108,0.932978517085
valid109,1.0
valid110,0.95479387901
valid111,0.947592418747
valid112,0.924327885261
valid113,-0.947948431815
valid114,-1.0
valid115,-0.705583943384
valid116,0.709293418969
valid117,-0.742032821391
valid118,-0.966204878726
valid119,1.0
valid120,0.870977764781
valid121,-0.771000410711
valid122,0.709293418969
valid123,-0.932978517085
valid124,-0.727505758478
valid125,0.666666666667
valid126,0.846763436489
valid127,-0.924327885261
valid128,-0.870977764781
valid129,0.814483108072
valid130,-0.846763436489
valid131,1.0
valid132,0.733212133041
valid133,-0.75514345776
valid134,-1.0
valid135,1.0
valid136,-1.0
valid137,0.75514345776
valid138,1.0
valid139,-0.870977764781
valid140,-0.686081389968
valid141,-1.0
valid142,-0.921039213343
valid143,-0.804429406671
valid144,-0.929816381081
valid145,0.801884574883
valid146,0.666666666667
valid147,-1.0
valid148,0.666666666667
valid149,1.0
valid150,0.742032821391
valid151,-0.947592418747
valid152,-0.924327885261
valid153,0.892863104692
valid154,0.870977764781
valid155,-0.747355301837
valid156,1.0
valid157,-1.0
valid158,-1.0
valid159,-0.855667813531
valid160,1.0
valid161,-0.924327885261
valid162,-1.0
valid163,1.0
valid164,-0.686081389968
valid165,-0.924327885261
valid166,0.870977764781
valid167,0.847182884781
valid168,0.666666666667
valid169,-0.832156073505
valid170,-1.0
valid171,-0.929816381081
valid172,-0.979036091462
valid173,0.924327885261
valid174,0.690577980345
valid175,-0.75514345776
valid176,0.790242307994
valid177,0.846763436489
valid178,-0.814483108072
valid179,0.957098969271
valid180,0.75514345776
valid181,0.870977764781
valid182,0.7955794768
valid183,-1.0
valid184,-1.0
valid185,-1.0
valid186,-0.947592418747
valid187,0.870977764781
valid188,-0.666666666667
valid189,0.988799622404
valid190,-0.690577980345
valid191,-0.75514345776
valid192,1.0
valid193,-0.975521156521
valid194,-0.989329219717
valid195,-1.0
valid196,0.666666666667
valid197,1.0
valid198,0.7955794768
valid199,1.0
valid200,0.747355301837
valid201,-0.924327885261
valid202,-1.0
valid203,-0.924327885261
valid204,-0.923443504493
valid205,1.0
valid206,-1.0
valid207,-0.686081389968
valid208,0.975521156521
valid209,1.0
valid210,-0.921039213343
valid211,-0.904946648005
valid212,0.733212133041
valid213,1.0
valid214,-1.0
valid215,1.0
valid216,0.924327885261
valid217,0.870977764781
valid218,-1.0
valid219,-0.904946648005
valid220,-1.0
valid221,-0.75514345776
valid222,-0.99294313385
valid223,-0.923443504493
valid224,0.727505758478
valid225,-1.0
valid226,1.0
valid227,1.0
valid228,1.0
valid229,0.727505758478
valid230,-0.99294313385
valid231,-1.0
valid232,-0.921039213343
valid233,-0.870977764781
valid234,-0.846763436489
valid235,0.666666666667
valid236,1.0
valid237,0.666666666667
valid238,1.0
valid239,1.0
valid240,0.957098969271
valid241,1.0
valid242,-1.0
valid243,0.924327885261
valid244,1.0
valid245,1.0
valid246,-1.0
valid247,-1.0
valid248,-1.0
valid249,-0.924327885261
valid250,1.0
valid251,1.0
valid252,0.847182884781
valid253,0.747355301837
valid254,0.975521156521
valid255,1.0
valid256,1.0
valid257,0.904946648005
valid258,-0.705583943384
valid259,1.0
valid260,0.771000410711
valid261,1.0
valid262,-1.0
valid263,0.892476776944
valid264,-1.0
valid265,1.0
valid266,-0.847182884781
valid267,-1.0
valid268,0.846763436489
valid269,-0.847182884781
valid270,-1.0
valid271,0.846763436489
valid272,0.666666666667
valid273,-0.666666666667
valid274,1.0
valid275,1.0
valid276,1.0
valid277,0.686081389968
valid278,-0.887134105043
valid279,-0.904946648005
valid280,-0.847182884781
valid281,1.0
valid282,-0.929816381081
valid283,-1.0
valid284,1.0
valid285,-0.814483108072
valid286,-0.727505758478
valid287,-0.892476776944
valid288,0.727505758478
valid289,1.0
valid290,0.99294313385
valid291,-1.0
valid292,-0.967002262175
valid293,-1.0
valid294,-0.666666666667
valid295,-1.0
valid296,0.709293418969
valid297,-0.904946648005
valid298,0.814483108072
valid299,-0.686081389968
valid300,-0.790242307994
valid301,-0.923443504493
valid302,-0.814483108072
valid303,1.0
valid304,-0.957098969271
valid305,1.0
valid306,1.0
valid307,-1.0
valid308,-1.0
valid309,0.801884574883
valid310,-0.870977764781
valid311,1.0
valid312,-0.887134105043
valid313,0.705583943384
valid314,0.804429406671
valid315,-0.981973974278
valid316,-0.957098969271
valid317,1.0
valid318,1.0
valid319,-0.75514345776
valid320,-0.747355301837
valid321,1.0
valid322,-0.957098969271
valid323,-1.0
valid324,0.947592418747
valid325,-0.957098969271
valid326,0.727505758478
valid327,-1.0
valid328,0.742032821391
valid329,0.666666666667
valid330,0.771000410711
valid331,1.0
valid332,1.0
valid333,-0.686081389968
valid334,1.0
valid335,0.727505758478
valid336,-1.0
valid337,-0.666666666667
valid338,1.0
valid339,0.709293418969
valid340,0.727505758478
valid341,-0.924327885261
valid342,-1.0
valid343,-1.0
valid344,-1.0
valid345,-1.0
valid346,-1.0
valid347,0.967002262175
valid348,-0.929816381081
valid349,1.0
valid350,1.0
valid351,-0.690577980345
valid352,-0.666666666667
valid353,-0.846763436489
valid354,0.832156073505
valid355,1.0
valid356,-0.892476776944
valid357,0.929816381081
valid358,0.847182884781
valid359,-0.747355301837
valid360,-1.0
valid361,1.0
valid362,0.887134105043
valid363,-0.921039213343
valid364,1.0
valid365,-0.686081389968
valid366,0.666666666667
valid367,-1.0
valid368,-0.987565823188
valid369,-0.892863104692
valid370,0.742032821391
valid371,0.790242307994
valid372,-1.0
valid373,0.966204878726
valid374,-0.686081389968
valid375,-1.0
valid376,0.924327885261
valid377,-1.0
valid378,-0.923443504493
valid379,-0.801884574883
valid380,1.0
valid381,-0.747355301837
valid382,-0.929816381081
valid383,-0.988799622404
valid384,0.804429406671
valid385,1.0
valid386,-1.0
valid387,-1.0
valid388,-0.814483108072
valid389,0.801884574883
valid390,-0.855667813531
valid391,0.686081389968
valid392,-0.921039213343
valid393,1.0
valid394,-0.727505758478
valid395,-0.686081389968
valid396,0.690577980345
valid397,1.0
valid398,-1.0
valid399,1.0
valid400,0.686081389968
valid401,-0.705583943384
valid402,1.0
valid403,1.0
valid404,0.924327885261
valid405,1.0
valid406,1.0
valid407,-0.804429406671
valid408,-0.966204878726
valid409,-0.666666666667
valid410,0.75514345776
valid411,1.0
valid412,0.924327885261
valid413,-0.921039213343
valid414,0.923443504493
valid415,-0.801884574883
valid416,-0.929816381081
valid417,-1.0
valid418,-1.0
valid419,1.0
valid420,1.0
valid421,-0.747355301837
valid422,-0.99294313385
valid423,0.690577980345
valid424,0.929816381081
valid425,-1.0
valid426,0.727505758478
valid427,-1.0
valid428,1.0
valid429,-0.924327885261
valid430,0.975521156521
valid431,0.95479387901
valid432,0.790242307994
valid433,-0.870977764781
valid434,-1.0
valid435,0.947592418747
valid436,-1.0
valid437,-0.924327885261
valid438,0.686081389968
valid439,1.0
valid440,-0.975521156521
valid441,-0.686081389968
valid442,-1.0
valid443,-1.0
valid444,1.0
valid445,-0.75514345776
valid446,0.923443504493
valid447,-0.975521156521
valid448,0.75514345776
valid449,-1.0
valid450,-0.855667813531
valid451,1.0
valid452,-1.0
valid453,0.814483108072
valid454,-1.0
valid455,-0.887134105043
valid456,-0.892863104692
valid457,1.0
valid458,-0.7955794768
valid459,0.742032821391
valid460,-1.0
valid461,-0.7955794768
valid462,-0.686081389968
valid463,-0.686081389968
valid464,-0.975521156521
valid465,0.892476776944
valid466,-0.709293418969
valid467,0.7955794768
valid468,-0.727505758478
valid469,1.0
valid470,-1.0
valid471,-0.666666666667
valid472,-0.947948431815
valid473,0.686081389968
valid474,0.95479387901
valid475,-0.892863104692
valid476,0.924327885261
valid477,0.957544422657
valid478,-0.666666666667
valid479,-0.801884574883
valid480,-0.904946648005
valid481,0.705583943384
valid482,-1.0
valid483,0.847182884781
valid484,0.870977764781
valid485,-0.771000410711
